,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3,Y_close,PL1,PL2,PL3
51,869.87,872.1828174178439,1.0,1.0,1011965.0,1.0,1.0,1006630.0,-1.0,-1.0,1022020.0,849.5,-10185.0,-10185.0,-9250.0
52,847.0,868.6213284848901,1.0,1.0,1013455.0,1.0,0.0,1006630.0,-1.0,-1.0,1022260.0,849.98,1490.0,0.0,240.0
53,848.8,851.3978391003529,1.0,1.0,1009140.0,1.0,0.0,1006630.0,-1.0,-1.0,1017355.0,840.17,-4315.0,0.0,-4905.0
54,840.0,850.6141808290145,1.0,1.0,1007140.0,1.0,0.0,1006630.0,-1.0,-1.0,1015270.0,836.0,-2000.0,0.0,-2085.0
55,829.69,839.030536762553,1.0,1.0,1011550.0,1.0,0.0,1006630.0,-1.0,-1.0,1016525.0,838.51,4410.0,0.0,1255.0
56,838.51,838.2613248968297,-1.0,-1.0,1010305.0,-1.0,-1.0,1005385.0,-1.0,-1.0,1017770.0,841.0,-1245.0,-1245.0,1245.0
57,846.0,837.0979657865439,-1.0,-1.0,1007810.0,-1.0,0.0,1005385.0,-1.0,-1.0,1022765.0,850.99,-2495.0,0.0,4995.0
58,850.94,840.6127628241646,-1.0,-1.0,1008285.0,-1.0,0.0,1005385.0,-1.0,-1.0,1022265.0,849.99,475.0,0.0,-500.0
59,847.6,848.6524374315231,1.0,1.0,1008385.0,1.0,1.0,1005485.0,-1.0,-1.0,1021170.0,847.8,100.0,100.0,-1095.0
60,849.0,849.6233021838655,1.0,1.0,1012390.0,1.0,0.0,1005485.0,-1.0,-1.0,1025775.0,857.01,4005.0,0.0,4605.0
61,853.0,848.5212228481442,-1.0,-1.0,1012835.0,-1.0,-1.0,1005930.0,-1.0,-1.0,1023325.0,852.11,445.0,445.0,-2450.0
62,851.3,853.2236077473942,1.0,1.0,1011335.0,1.0,1.0,1004430.0,-1.0,-1.0,1021420.0,848.3,-1500.0,-1500.0,-1905.0
63,850.8,851.0257853974083,1.0,1.0,1008435.0,1.0,0.0,1004430.0,-1.0,-1.0,1019770.0,845.0,-2900.0,0.0,-1650.0
64,846.7,849.2596750819623,1.0,1.0,1005665.0,1.0,0.0,1004430.0,-1.0,-1.0,1017850.0,841.16,-2770.0,0.0,-1920.0
65,842.12,846.1334263805861,1.0,1.0,1005455.0,1.0,0.0,1004430.0,-1.0,-1.0,1018120.0,841.7,-210.0,0.0,270.0
66,841.7,841.8684091587484,1.0,1.0,1005055.0,1.0,0.0,1004430.0,-1.0,-1.0,1017720.0,840.9,-400.0,0.0,-400.0
67,838.46,842.4612702471521,1.0,1.0,1006555.0,1.0,0.0,1004430.0,-1.0,-1.0,1018000.0,841.46,1500.0,0.0,280.0
68,840.37,840.2183907149057,-1.0,-1.0,1007740.0,-1.0,-1.0,1005615.0,-1.0,-1.0,1016270.0,838.0,1185.0,1185.0,-1730.0
69,841.77,841.6760029949173,-1.0,-1.0,1000675.0,-1.0,0.0,1005615.0,-1.0,-1.0,1025220.0,855.9,-7065.0,0.0,8950.0
70,852.79,840.903587204595,-1.0,-1.0,1000075.0,-1.0,0.0,1005615.0,-1.0,-1.0,1024265.0,853.99,-600.0,0.0,-955.0
71,857.01,854.2088381685812,-1.0,-1.0,999980.0,-1.0,0.0,1005615.0,-1.0,-1.0,1025870.0,857.2,-95.0,0.0,1605.0
72,859.0,855.6145024381802,-1.0,-1.0,998855.0,-1.0,0.0,1005615.0,-1.0,-1.0,1027895.0,861.25,-1125.0,0.0,2025.0
73,861.21,857.9037889740974,-1.0,-1.0,1000010.0,-1.0,0.0,1005615.0,-1.0,-1.0,1026720.0,858.9,1155.0,0.0,-1175.0
74,869.18,862.9407198815944,-1.0,-1.0,995100.0,-1.0,0.0,1005615.0,-1.0,-1.0,1036770.0,879.0,-4910.0,0.0,10050.0
75,882.0,859.8436070714754,-1.0,-1.0,991575.0,-1.0,0.0,1005615.0,-1.0,-1.0,1041795.0,889.05,-3525.0,0.0,5025.0
76,890.0,877.386390541402,-1.0,-1.0,992080.0,-1.0,0.0,1005615.0,-1.0,-1.0,1041765.0,888.99,505.0,0.0,-30.0
77,889.76,888.357863491002,-1.0,-1.0,972210.0,-1.0,0.0,1005615.0,-1.0,-1.0,1062020.0,929.5,-19870.0,0.0,20255.0
78,928.05,889.5078275513704,-1.0,-1.0,974235.0,-1.0,0.0,1005615.0,-1.0,-1.0,1059270.0,924.0,2025.0,0.0,-2750.0
79,923.0,922.652235687303,-1.0,-1.0,969385.0,-1.0,0.0,1005615.0,-1.0,-1.0,1063620.0,932.7,-4850.0,0.0,4350.0
80,934.72,929.4568534223421,-1.0,-1.0,970370.0,-1.0,0.0,1005615.0,-1.0,-1.0,1063645.0,932.75,985.0,0.0,25.0
81,932.61,932.1642481746684,-1.0,-1.0,963325.0,-1.0,0.0,1005615.0,-1.0,-1.0,1070620.0,946.7,-7045.0,0.0,6975.0
82,950.5,936.902651935759,-1.0,-1.0,961075.0,-1.0,0.0,1005615.0,-1.0,-1.0,1074770.0,955.0,-2250.0,0.0,4150.0
83,957.89,946.0673652444606,-1.0,-1.0,964920.0,-1.0,0.0,1005615.0,-1.0,-1.0,1072370.0,950.2,3845.0,0.0,-2400.0
84,948.2,955.0295181453862,1.0,1.0,969620.0,1.0,1.0,1010315.0,-1.0,-1.0,1076070.0,957.6,4700.0,4700.0,3700.0
85,961.0,957.010739213042,-1.0,-1.0,971765.0,-1.0,-1.0,1012460.0,-1.0,-1.0,1075625.0,956.71,2145.0,2145.0,-445.0
86,957.2,957.2668686394087,1.0,1.0,970585.0,1.0,1.0,1011280.0,-1.0,-1.0,1074690.0,954.84,-1180.0,-1180.0,-935.0
87,952.3,958.5229010749373,1.0,1.0,972380.0,1.0,0.0,1011280.0,-1.0,-1.0,1075215.0,955.89,1795.0,0.0,525.0
88,956.25,956.3717444991884,1.0,1.0,971825.0,1.0,0.0,1011280.0,-1.0,-1.0,1074840.0,955.14,-555.0,0.0,-375.0
89,958.0,957.0315044005553,-1.0,-1.0,971215.0,-1.0,-1.0,1010670.0,-1.0,-1.0,1076880.0,959.22,-610.0,-610.0,2040.0
90,962.99,957.3954713814052,-1.0,-1.0,971710.0,-1.0,0.0,1010670.0,-1.0,-1.0,1078270.0,962.0,495.0,0.0,1390.0
91,959.5,959.3273947615692,-1.0,-1.0,978960.0,-1.0,0.0,1010670.0,-1.0,-1.0,1069770.0,945.0,7250.0,0.0,-8500.0
92,939.6,963.0020180289692,1.0,1.0,984905.0,1.0,1.0,1016615.0,-1.0,-1.0,1073015.0,951.49,5945.0,5945.0,3245.0
93,955.0,947.2548728684736,-1.0,-1.0,985155.0,-1.0,-1.0,1016865.0,-1.0,-1.0,1074520.0,954.5,250.0,250.0,1505.0
94,958.0,951.5281399019992,-1.0,-1.0,982335.0,-1.0,0.0,1016865.0,-1.0,-1.0,1079090.0,963.64,-2820.0,0.0,4570.0
95,967.42,957.5109894409372,-1.0,-1.0,980700.0,-1.0,0.0,1016865.0,-1.0,-1.0,1082615.0,970.69,-1635.0,0.0,3525.0
96,972.45,964.2051506574188,-1.0,-1.0,978090.0,-1.0,0.0,1016865.0,-1.0,-1.0,1086105.0,977.67,-2610.0,0.0,3490.0
97,980.0,972.0099456384044,-1.0,-1.0,971590.0,-1.0,0.0,1016865.0,-1.0,-1.0,1093770.0,993.0,-6500.0,0.0,7665.0
98,991.1,968.0731730016877,-1.0,-1.0,970940.0,-1.0,0.0,1016865.0,-1.0,-1.0,1093470.0,992.4,-650.0,0.0,-300.0
