Date,Open,High,Low,Close,Volume,SP500,ADS_Index,Returns,Mkt-RF,SMB,HML,RF,Average_OC,Average_all,O-C,H-L,open_tmr,close_tmr,logVol
2017-09-12,946.19,948.09,937.5,946.65,8094,2496.48,-0.235166494463769,0.001995018488277545,0.43,0.25,0.71,0.005,946.4200000000001,944.6075000000001,-0.4599999999999227,10.590000000000032,945.89,950.5,8.998878325435811
2017-09-13,945.89,952.85,944.71,950.5,7064,2498.37,-0.216984700982705,0.0035557208552380354,0.11,0.31,0.36,0.005,948.1949999999999,948.4875,-4.610000000000014,8.139999999999986,950.0,937.0,8.862766742283796
2017-09-14,950.0,950.0,937.0,937.0,9438,2495.62,-0.198201172092964,0.003995575318183834,-0.12,-0.04,-0.07,0.005,943.5,943.5,13.0,13.0,942.0,935.69,9.152499372286332
2017-09-15,942.0,942.0,931.25,935.69,13914,2500.23,-0.17881346525959,-0.010906868476566665,0.19,0.28,0.12,0.005,938.845,937.735,6.309999999999945,10.75,937.1,929.31,9.540650806483587
2017-09-18,937.1,937.81,925.4,929.31,8987,2503.87,-0.116483308345945,-0.005161550787958194,0.24,0.37,0.2,0.005,933.2049999999999,932.405,7.790000000000077,12.409999999999968,931.5,936.86,9.103534367658373
2017-09-19,931.5,937.94,926.66,936.86,7274,2506.65,-0.0936617441078888,-0.005940885299396597,0.15,-0.28,0.35,0.005,934.1800000000001,933.24,-5.360000000000014,11.280000000000086,939.79,946.01,8.892061625546935
2017-09-20,939.79,950.0,937.5,946.01,11076,2508.24,-0.0697476941307762,0.007618109238797841,0.16,0.23,0.52,0.005,942.9,943.325,-6.220000000000027,12.5,947.99,945.27,9.312535884290853
2017-09-21,947.99,952.8,939.37,945.27,8768,2500.6,-0.0447380487272135,0.011335287162340345,-0.28,0.1,0.37,0.005,946.63,946.3575000000001,2.7200000000000273,13.42999999999995,943.75,944.0,9.078864009187797
2017-09-22,943.75,950.0,940.83,944.0,6968,2502.22,-0.0186295557429584,1.0564142262031722e-05,0.12,0.44,0.13,0.005,943.875,944.645,-0.25,9.169999999999959,940.0,933.8,8.849083518532339
2017-09-25,940.0,940.0,924.51,933.8,12873,2496.66,0.0663653252952882,-0.004537722315571367,-0.25,0.31,0.63,0.005,936.9,934.5775,6.2000000000000455,15.490000000000009,936.22,937.0,9.462887373659635
2017-09-26,936.22,944.08,935.0,937.0,10198,2496.84,0.0967305514180895,-0.009565760823787628,0.05,0.39,0.13,0.005,936.61,938.075,-0.7799999999999727,9.080000000000041,941.89,960.0,9.2299469016151
2017-09-27,941.89,965.43,941.82,960.0,15433,2507.04,0.127997323415729,0.0033658707137599756,0.63,1.39,0.17,0.005,950.9449999999999,952.285,-18.110000000000014,23.6099999999999,960.9,964.81,9.64426335290083
2017-09-28,960.9,966.18,955.05,964.81,8855,2510.06,0.160169707094159,0.02368705644911473,0.13,0.16,-0.07,0.005,962.855,961.735,-3.909999999999968,11.129999999999995,968.8,974.0,9.088737550216933
2017-09-29,968.8,975.81,966.0,974.0,12997,2519.36,0.193251886021455,0.005102051316618432,0.35,-0.12,-0.27,0.005,971.4,971.1525,-5.2000000000000455,9.809999999999945,976.0,967.47,9.47247384058159
2017-10-02,976.0,977.75,961.95,967.47,10452,2529.12,0.297111840520252,0.00919256950981618,0.5,0.84,0.16,0.004,971.735,970.7925,8.529999999999973,15.799999999999955,967.71,972.15,9.254548626640503
2017-10-03,967.71,972.44,962.7,972.15,7203,2534.58,0.330179852719224,-0.0064393715023715,0.26,-0.03,-0.02,0.004,969.9300000000001,968.7500000000001,-4.439999999999941,9.740000000000009,971.76,967.77,8.882252884889363
2017-10-04,971.76,974.4,965.61,967.77,5810,2537.74,0.36137129261395,0.004753736392470325,0.05,-0.28,-0.45,0.004,969.765,969.885,3.990000000000009,8.789999999999964,968.68,984.81,8.667335849845957
2017-10-05,968.68,986.51,968.36,984.81,11004,2552.07,0.390690216214495,-0.005467131278613371,0.55,-0.34,0.35,0.004,976.7449999999999,977.0899999999999,-16.129999999999995,18.149999999999977,987.3,993.31,9.306014122044465
2017-10-06,987.3,994.26,978.51,993.31,9610,2549.33,0.418140436036402,0.01886352619161397,-0.08,-0.08,-0.25,0.004,990.305,988.345,-6.009999999999991,15.75,993.95,992.32,9.170559501964338
2017-10-09,993.95,1000.46,991.5,992.32,6620,2544.73,0.489792087825446,0.008540465112231199,-0.22,-0.28,-0.05,0.004,993.135,994.5575,1.6299999999999955,8.960000000000036,992.53,987.8,8.797850648931053
2017-10-10,992.53,997.47,981.11,987.8,6447,2550.64,0.510280756436503,-0.0013394266624419551,0.24,-0.01,0.42,0.004,990.165,989.7275,4.730000000000018,16.360000000000014,989.07,1005.49,8.77137018531062
2017-10-11,989.07,1007.57,987.93,1005.49,10777,2555.24,0.528917469974476,-0.004555320493102419,0.16,-0.2,-0.22,0.004,997.28,997.515,-16.41999999999996,19.6400000000001,1005.65,1006.29,9.285169512596832
2017-10-12,1005.65,1011.54,1001.1,1006.29,9103,2550.93,0.54570465188304,0.01790916550607529,-0.18,0.04,-0.51,0.004,1005.97,1006.145,-0.6399999999999864,10.43999999999994,1009.84,1009.71,9.116359308505288
2017-10-13,1009.84,1014.76,1006.96,1009.71,7747,2553.17,0.560644485100177,0.0,0.04,-0.22,0.11,0.004,1009.7750000000001,1010.3175000000001,0.12999999999999545,7.7999999999999545,1010.0,1008.63,8.955060950631902
2017-10-16,1010.0,1012.7,1001.52,1008.63,6372,2557.64,0.594875654577525,0.0022050656348765467,0.17,-0.28,0.37,0.004,1009.315,1008.2125000000001,1.3700000000000045,11.180000000000064,1007.02,1010.04,8.759668671029939
2017-10-17,1007.02,1014.56,1006.05,1010.04,5725,2559.36,0.603422256957205,0.0014673474254897599,0.01,-0.33,-0.28,0.004,1008.53,1009.4174999999999,-3.019999999999982,8.509999999999991,1012.5,1012.35,8.65259782842244
2017-10-18,1012.5,1016.31,1005.32,1012.35,7974,2561.26,0.610630554860573,0.0016334044957136157,0.14,0.31,0.22,0.004,1012.425,1011.62,0.14999999999997726,10.989999999999895,1009.4,1001.84,8.983941527941301
2017-10-19,1009.4,1009.4,997.3,1001.84,10706,2562.1,0.616501485625852,0.001719579034217329,0.02,-0.38,0.17,0.004,1005.62,1004.485,7.559999999999945,12.100000000000023,1004.5,1005.25,9.278559610953327
2017-10-20,1004.5,1008.65,1002.27,1005.25,8269,2575.21,0.621035812685393,-0.010821182848500858,0.57,-0.07,0.28,0.004,1004.875,1005.1675,-0.75,6.3799999999999955,1006.04,986.98,9.020268861722167
2017-10-23,1006.04,1007.05,983.1,986.98,9997,2564.98,0.626600194880582,0.0032188615674009465,-0.45,-0.42,0.12,0.004,996.51,995.7925,19.059999999999945,23.949999999999932,988.0,988.49,9.210040326967182
2017-10-24,988.0,992.4,977.08,988.49,7910,2569.13,0.625704776958692,-0.019622784793554674,0.2,-0.18,0.47,0.004,988.245,986.4925000000001,-0.4900000000000091,15.319999999999936,986.8,993.99,8.9758830607617
2017-10-25,986.8,994.43,977.72,993.99,8832,2557.15,0.623410470258109,0.0029888241251410717,-0.51,-0.01,0.11,0.004,990.395,988.235,-7.190000000000055,16.709999999999923,995.0,1019.0,9.086136768516877
2017-10-26,995.0,1040.0,989.06,1019.0,13629,2560.4,0.619716976436367,0.003000110315600644,0.2,0.04,0.22,0.004,1007.0,1010.765,-24.0,50.940000000000055,1018.0,1035.1,9.519955154427514
2017-10-27,1018.0,1063.62,1018.0,1035.1,33564,2581.07,0.614623815206305,-4.0384692875508716e-05,0.82,-0.02,-1.01,0.004,1026.55,1033.6799999999998,-17.09999999999991,45.61999999999989,1032.65,1031.03,10.42120934298996
2017-10-30,1032.65,1039.83,1018.52,1031.03,14542,2572.83,0.590978270968082,0.0417326560322195,-0.46,-0.8,-0.06,0.004,1031.8400000000001,1030.5075000000002,1.6200000000001182,21.309999999999945,1034.0,1032.8,9.584796293210003
2017-10-31,1034.0,1041.0,1026.29,1032.8,8995,2575.26,0.580347092664856,-0.0005225846714600645,0.23,0.81,-0.22,0.004,1033.4,1033.5225,1.2000000000000455,14.710000000000036,1037.34,1039.38,9.104424146384634
2017-11-01,1037.34,1047.86,1034.0,1039.38,13113,2579.36,0.568340741905126,-8.708479761201247e-05,0.05,-0.8,0.15,0.004,1038.3600000000001,1039.645,-2.040000000000191,13.8599999999999,1040.0,1043.94,9.481359383531425
2017-11-02,1040.0,1045.52,1028.65,1043.94,7334,2579.85,0.556684622731273,0.00921162102358276,0.06,-0.03,0.49,0.004,1041.97,1039.5275000000001,-3.9400000000000546,16.86999999999989,1045.0,1047.9,8.900276348631271
2017-11-03,1045.0,1050.66,1037.65,1047.9,8280,2587.84,0.545036280850204,0.00035481428413740133,0.31,-0.42,-0.69,0.004,1046.45,1045.3025,-2.900000000000091,13.009999999999991,1049.55,1043.5,9.021598247379305
2017-11-06,1049.55,1052.59,1041.17,1043.5,5218,2591.13,0.510132638768004,0.0067082461740252345,0.06,0.2,0.19,0.004,1046.525,1046.7025,6.0499999999999545,11.419999999999845,1044.52,1052.85,8.559869465696673
